        Kryštof Hartman, Tatran Omlux Střešovice, 9, 2, 2, 4, 0, 
        Aleš Höffer, FbŠ Bohemians, 8, 2, 2, 4, 0, 
        Matěj Koňařík, 1. SC WOOW Vítkovice, 7, 2, 2, 4, 0, 
        Ondřej Svatoš, AC Sparta Praha Florbal, 7, 2, 2, 4, 0, 
        Lukáš Petřík, Panthers Otrokovice, 9, 1, 3, 4, 2, 
        Petr Heřmanský, Tatran Omlux Střešovice, 8, 1, 3, 4, 5, 
        Marek Hluchý, FbŠ Bohemians, 7, 1, 3, 4, 3, 
        Martin Richter, Tatran Omlux Střešovice, 4, 1, 3, 4, 0, 
        Martin Rožnovják, BILLY BOY Mladá Boleslav, 9, 3, 0, 3, 2, 
        Karel Eichler, FBC Kladno, 9, 3, 0, 3, 3, 
        Lukáš Mátl, BILLY BOY Mladá Boleslav, 9, 2, 1, 3, 1, 
        Dominik Klimscha, FBC ČPP Software Ostrava, 9, 2, 1, 3, 0, 
        Václav Komačka, FBC ČPP Software Ostrava, 9, 2, 1, 3, 1, 
        Martin Pražan, TJ JM Pedro Perez Chodov, 9, 2, 1, 3, 0, 
        Petr Duchek, AC Sparta Praha Florbal, 8, 2, 1, 3, 0, 
        Jan Denemark, AC Sparta Praha Florbal, 7, 2, 1, 3, 1, 
        Tomáš Novák, BILLY BOY Mladá Boleslav, 9, 1, 2, 3, 0, 
        Marek Chlumský, FbŠ Bohemians, 9, 1, 2, 3, 2, 
        Martin Komenda, itelligence Bulldogs Brno, 9, 1, 2, 3, 2, 
        Štěpán Raiter, Sokol Pardubice, 9, 1, 2, 3, 0, 
        Pavel Brus, 1. SC WOOW Vítkovice, 7, 1, 2, 3, 0, 
        Martin Kisugite, FbŠ Bohemians, 7, 1, 2, 3, 1, 
        Jan Jelínek, 1. SC WOOW Vítkovice, 5, 1, 2, 3, 0, 
        Josef Pluhař, BILLY BOY Mladá Boleslav, 5, 1, 2, 3, 0, 
        Petr Trulík, FBC ČPP Software Ostrava, 5, 1, 2, 3, 1, 
        Ondřej Slivka, FBC Kladno, 9, 0, 3, 3, 1, 
        Ondřej Veselý, itelligence Bulldogs Brno, 7, 0, 3, 3, 2, 
        Tomáš Kadlec, BILLY BOY Mladá Boleslav, 9, 2, 0, 2, 1, 
        Petr Chvojka, FBC Liberec, 9, 2, 0, 2, 1, 
        Vladimír Běhavý, TJ JM Pedro Perez Chodov, 9, 2, 0, 2, 0, 
        Pavel Bouška, BILLY BOY Mladá Boleslav, 8, 2, 0, 2, 2, 
