        Florian FlÃ¼kiger, Tigers Langnau, 0, 2, 0, 2, 4, 
        Tobias Heller, Kloten-BÃ¼lach Jets, 0, 2, 0, 2, 0, 
        David MÃ¼ller, Floorball KÃ¶niz, 0, 2, 0, 2, 0, 
        Tommi Aro, UHC Alligator Malans, 0, 1, 1, 2, 2, 
        Simon FlÃ¼hmann, SV Wiler-Ersigen, 0, 1, 1, 2, 0, 
        Lukas Grunder, HC Rychenberg Wint..., 0, 1, 1, 2, 1, 
        Andreas Honold, Grasshopper Club Z..., 0, 1, 1, 2, 0, 
        AndrÃ© Hostettler, Grasshopper Club Z..., 0, 1, 1, 2, 1, 
        Yannick Jaunin, Kloten-BÃ¼lach Jets, 0, 1, 1, 2, 1, 
        Martin Joss, UHC Alligator Malans, 0, 1, 1, 2, 0, 
        Petr KoloÅ¡, HC Rychenberg Wint..., 0, 1, 1, 2, 0, 
        Kari Juhani Koskelainen, Chur Unihockey, 0, 1, 1, 2, 0, 
        Yves Pillichody, Floorball KÃ¶niz, 0, 1, 1, 2, 0, 
        Lukas Schneeberger, Olten Zofingen, 0, 1, 1, 2, 0, 
        Stefan Siegenthaler, Tigers Langnau, 0, 1, 1, 2, 2, 
        Marcel Stucki, UHC GrÃ¼nenmatt, 0, 1, 1, 2, 0, 
        Florian Witschi, Floorball KÃ¶niz, 0, 1, 1, 2, 0, 
        Dave Wittwer, SV Wiler-Ersigen, 0, 1, 1, 2, 4, 
        Lukas Wittwer, Grasshopper Club Z..., 0, 1, 1, 2, 0, 
        Dominik DÃ¼rst, Kloten-BÃ¼lach Jets, 0, 0, 2, 2, 2, 
        Johannes Hartmann, HC Rychenberg Wint..., 0, 0, 2, 2, 0, 
        Patrik KÃ¼nzli, Kloten-BÃ¼lach Jets, 0, 0, 2, 2, 1, 
        Dario Langenegger, Tigers Langnau, 0, 0, 2, 2, 1, 
        Jonas Ledergerber, Floorball KÃ¶niz, 0, 0, 2, 2, 2, 
        Julian MÃ¼ller, Grasshopper Club Z..., 0, 0, 2, 2, 0, 
        Roman Pass, Olten Zofingen, 0, 0, 2, 2, 0, 
        Valtteri Sainio, Kloten-BÃ¼lach Jets, 0, 0, 2, 2, 0, 
        Martin Vladar, Chur Unihockey, 0, 0, 2, 2, 2, 
        Yannik Aeschlimann, Tigers Langnau, 0, 1, 0, 1, 0, 
        Sandro BÃ¼chel, Waldkirch-St. Gallen, 0, 1, 0, 1, 0, 
        Stefan Castrischer, Floorball KÃ¶niz, 0, 1, 0, 1, 1, 
        Remo Eberhard, UHC Alligator Malans, 0, 1, 0, 1, 0, 
        Michael Garnier, SV Wiler-Ersigen, 0, 1, 0, 1, 0, 
        Fabio Good, Chur Unihockey, 0, 1, 0, 1, 1, 
        Alain Kaiser, Grasshopper Club Z..., 0, 1, 0, 1, 0, 
        Stefan KÃ¤ser, UHC GrÃ¼nenmatt, 0, 1, 0, 1, 0, 
        Christoph Kasper, Olten Zofingen, 0, 1, 0, 1, 0, 
        Andris Ladner, Kloten-BÃ¼lach Jets, 0, 1, 0, 1, 0, 
        Claudio Mutter, Waldkirch-St. Gallen, 0, 1, 0, 1, 0, 
        Martin Nef, UHC Uster, 0, 1, 0, 1, 1, 
        Samuel Ottiker, Olten Zofingen, 0, 1, 0, 1, 0, 
